"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"25","Emmanuel Macron suggests building its own army to protect Europe against the U.S., China and Russia. But it was Ger… https://t.co/2QhmeaaxPk",FALSE,122349,NA,2018-11-13 11:50:41,TRUE,NA,"1062311785787744256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",36282,FALSE,FALSE,NA,NA
"26","I just approved an expedited request for a Major Disaster Declaration for the State of California. Wanted to respon… https://t.co/Mlsbzln0V2",FALSE,134916,NA,2018-11-13 01:19:55,TRUE,NA,"1062153051459469312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",27539,FALSE,FALSE,NA,NA
"27","Hopefully, Saudi Arabia and OPEC will not be cutting oil production. Oil prices should be much lower based on supply!",FALSE,74468,NA,2018-11-12 18:21:04,FALSE,NA,"1062047641889095684",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17823,FALSE,FALSE,NA,NA
"28","American Cable Association has big problems with Comcast. They say that Comcast routinely violates Antitrust Laws.… https://t.co/3FXXwOR1wg",FALSE,67059,NA,2018-11-12 18:13:10,TRUE,NA,"1062045654711713792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17668,FALSE,FALSE,NA,NA
"29","The California Fire Fighters, FEMA and  First Responders are amazing and very brave. Thank you and God Bless you all!",FALSE,122430,NA,2018-11-12 16:31:27,FALSE,NA,"1062020057616793600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22129,FALSE,FALSE,NA,NA
"30","The prospect of Presidential Harassment by the Dems is causing the Stock Market big headaches!",FALSE,81833,NA,2018-11-12 15:34:09,FALSE,NA,"1062005636488142848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20253,FALSE,FALSE,NA,NA
"31","The Florida Election should be called in favor of Rick Scott and Ron DeSantis in that large numbers of new ballots… https://t.co/9e9Qqkn9pq",FALSE,119746,NA,2018-11-12 12:44:13,TRUE,NA,"1061962869376540672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",34328,FALSE,FALSE,NA,NA
"32",".....of money spent on protecting other countries, and we get nothing but Trade Deficits and Losses. It is time tha… https://t.co/g5CpXgXYSn",FALSE,93088,NA,2018-11-12 12:21:11,TRUE,NA,"1061957074253418496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21926,FALSE,FALSE,NA,NA
"33",".....hundreds of billions of dollars, for the great privilege of losing hundreds of billions of dollars with these… https://t.co/XQWv7ciUgm",FALSE,78779,NA,2018-11-12 12:10:16,TRUE,NA,"1061954325843468288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18160,FALSE,FALSE,NA,NA
"34","Just returned from France where much was accomplished in my meetings with World Leaders. Never easy bringing up the… https://t.co/6SMjfOoVfw",FALSE,106391,NA,2018-11-12 12:03:25,TRUE,NA,"1061952604807274498",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24391,FALSE,FALSE,NA,NA
"35","Exactly 100 years ago today, on November 11th, 1918, World War I came to an end. We are gathered together, at this… https://t.co/FUKpp7JMtX",FALSE,92068,NA,2018-11-12 04:38:00,TRUE,NA,"1061840511026298880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20882,FALSE,FALSE,NA,NA
"36","RT @FLOTUS: Today we remember the brave actions of our troops and those of our allies during WWI. Honored to be spending this day honoring…",FALSE,0,NA,2018-11-11 20:55:38,FALSE,NA,"1061724154339110912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18488,TRUE,FALSE,NA,NA
"37","Poland, a great country - Congratulations on the 100th Anniversary of your Independence. I will never forget my tim… https://t.co/8yuSBJvNoB",FALSE,108272,NA,2018-11-11 16:03:35,TRUE,NA,"1061650654194745344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24099,FALSE,FALSE,NA,NA
"38","RT @WhiteHouse: President Trump Attends the American Commemoration Ceremony at Suresnes American Cemetery https://t.co/P6PgE1zXuE",FALSE,0,NA,2018-11-11 15:43:49,FALSE,NA,"1061645679603400704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12500,TRUE,FALSE,NA,NA
"39","Beautiful ceremony today in Paris commemorating the end of World War One. Many World leaders in attendance. Thank y… https://t.co/yvnYpNt0Qx",FALSE,95019,NA,2018-11-11 14:52:56,TRUE,NA,"1061632874808520709",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18800,FALSE,FALSE,NA,NA
"40","On this Veterans Day — the 100th Anniversary of the end of WWI, we honor the brave HEROES who fought for America in… https://t.co/4N8hF7kXLk",FALSE,76956,NA,2018-11-11 14:16:42,TRUE,NA,"1061623758161625089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20362,FALSE,FALSE,NA,NA
"41","With proper Forest Management, we can stop the devastation constantly going on in California. Get Smart!",FALSE,107528,NA,2018-11-11 09:40:50,FALSE,NA,"1061554334276747264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22285,FALSE,FALSE,NA,NA
"42","These California fires are expanding very, very quickly (in some cases 80-100 acres a minute). If people don’t evac… https://t.co/5WUnd01wou",FALSE,87677,NA,2018-11-10 22:20:40,TRUE,NA,"1061383163811893248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20809,FALSE,FALSE,NA,NA
"43","More than 4,000 are fighting the Camp and Woolsey Fires in California that have burned over 170,000 acres. Our hear… https://t.co/bHG71OSXsq",FALSE,119086,NA,2018-11-10 22:19:35,TRUE,NA,"1061382890100002817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24747,FALSE,FALSE,NA,NA
"44","Trying to STEAL two big elections in Florida! We are watching closely!",FALSE,120247,NA,2018-11-10 19:09:29,FALSE,NA,"1061335051294728194",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",31516,FALSE,FALSE,NA,NA
"45","Had very productive meetings and calls for our Country today. Meeting tonight with World Leaders!",FALSE,87663,NA,2018-11-10 19:06:50,FALSE,NA,"1061334384337399808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16138,FALSE,FALSE,NA,NA
"46","Happy 243rd Birthday to our GREAT U.S. Marine Corps<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> https://t.co/1cPtoMfmxP",FALSE,102299,NA,2018-11-10 14:09:42,FALSE,NA,"1061259607086112769",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23646,FALSE,FALSE,NA,NA
"47","I am in Paris getting ready to celebrate the end of World War One. Is there anything better to celebrate than the e… https://t.co/t8uU75sD9I",FALSE,140755,NA,2018-11-10 08:17:44,TRUE,NA,"1061171030801158146",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24911,FALSE,FALSE,NA,NA
"48","There is no reason for these massive, deadly and costly forest fires in California except that forest management is… https://t.co/k5gzPlaT4E",FALSE,125684,NA,2018-11-10 08:08:52,TRUE,NA,"1061168803218948096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",28875,FALSE,FALSE,NA,NA
"49","....Mr. Whitaker is very highly thought of by @SenJoniErnst, Senator @ChuckGrassley, Ambassador @TerryBranstad, Leo… https://t.co/uplNQmsTxe",FALSE,60490,NA,2018-11-10 04:04:53,TRUE,NA,"1061107399426220037",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14524,FALSE,FALSE,NA,NA
"50","Matthew G. Whitaker is a highly respected former U.S. Attorney from Iowa. He was chosen by Jeff Sessions to be his… https://t.co/M15MpWwa0R",FALSE,76043,NA,2018-11-10 03:52:16,TRUE,NA,"1061104224090628097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18325,FALSE,FALSE,NA,NA
"51","President Macron of France has just suggested that Europe build its own military in order to protect itself from th… https://t.co/ZlE52iViPz",FALSE,148730,NA,2018-11-09 21:10:46,TRUE,NA,"1061003186125856769",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",40275,FALSE,FALSE,NA,NA
"52","Just out — in Arizona, SIGNATURES DON’T MATCH. Electoral corruption - Call for a new Election? We must protect our Democracy!",FALSE,165956,NA,2018-11-09 20:33:37,FALSE,NA,"1060993836984324096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",51707,FALSE,FALSE,NA,NA
"53","Thank you @marcorubio for helping to expose the potential corruption going on with respect to Election Theft in Bro… https://t.co/vrora0PL4x",FALSE,106524,NA,2018-11-09 18:39:00,TRUE,NA,"1060964991510110208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",29956,FALSE,FALSE,NA,NA
"54","In the 2016 Election I was winning by so much in Florida that Broward County, which was very late with vote tabulat… https://t.co/EceYycXTDL",FALSE,86280,NA,2018-11-09 18:20:28,TRUE,NA,"1060960329876697088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23387,FALSE,FALSE,NA,NA
"55","Mayor Gillum conceded on Election Day and now Broward County has put him “back into play.” Bill Nelson conceded Ele… https://t.co/WImjFpLpph",FALSE,128882,NA,2018-11-09 18:14:03,TRUE,NA,"1060958713047961600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",36088,FALSE,FALSE,NA,NA
"56","Rick Scott was up by 50,000+ votes on Election Day, now they “found” many votes and he is only up 15,000 votes. “Th… https://t.co/W9X2AC3anj",FALSE,113608,NA,2018-11-09 17:36:38,TRUE,NA,"1060949297900834816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",34019,FALSE,FALSE,NA,NA
"57","Jeff Flake(y) doesn’t want to protect the Non-Senate confirmed Special Counsel, he wants to protect his future afte… https://t.co/BwxZf2gCDH",FALSE,84476,NA,2018-11-09 17:10:02,TRUE,NA,"1060942600994050048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20741,FALSE,FALSE,NA,NA
"58","As soon as Democrats sent their best Election stealing lawyer, Marc Elias, to Broward County they miraculously star… https://t.co/0pPBAq3duq",FALSE,135308,NA,2018-11-09 16:52:19,TRUE,NA,"1060938144336367616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",43688,FALSE,FALSE,NA,NA
"59","You mean they are just now finding votes in Florida and Georgia – but the Election was on Tuesday? Let’s blame the… https://t.co/F9ky8vupIB",FALSE,151528,NA,2018-11-09 15:58:56,TRUE,NA,"1060924708101644288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",42155,FALSE,FALSE,NA,NA
"60",".@BrianKempGA ran a great race in Georgia – he won. It is time to move on!",FALSE,85099,NA,2018-11-09 15:55:25,FALSE,NA,"1060923822851874816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20450,FALSE,FALSE,NA,NA
"61","“Presidential Proclamation Addressing Mass Migration Through the Southern Border of the United States” https://t.co/9blzn1XGyS",FALSE,55839,NA,2018-11-09 14:54:15,FALSE,NA,"1060908430062481408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17351,FALSE,FALSE,NA,NA
"62","Law Enforcement is looking into another big corruption scandal having to do with Election Fraud in #Broward and Pal… https://t.co/I402nKjfb1",FALSE,135303,NA,2018-11-09 02:38:22,TRUE,NA,"1060723241193484288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",41632,FALSE,FALSE,NA,NA
"63","....Great bravery shown by police. California Highway Patrol was on scene within 3 minutes, with first officer to e… https://t.co/Lw53XcQFvb",FALSE,127395,NA,2018-11-08 12:51:21,TRUE,NA,"1060515116700045312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24792,FALSE,FALSE,NA,NA
"64","I have been fully briefed on the terrible shooting in California. Law Enforcement and First Responders, together wi… https://t.co/c2ncb4FcJQ",FALSE,94462,NA,2018-11-08 12:38:41,TRUE,NA,"1060511925883285504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20110,FALSE,FALSE,NA,NA
"65","....We thank Attorney General Jeff Sessions for his service, and wish him well! A permanent replacement will be nominated at a later date.",FALSE,89320,"realDonaldTrump",2018-11-07 19:44:12,FALSE,"1060256619383193601","1060256623439110146","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20039,FALSE,FALSE,NA,NA
"66","We are pleased to announce that Matthew G. Whitaker, Chief of Staff to Attorney General Jeff Sessions at the Depart… https://t.co/MIRLOKJFwe",FALSE,121464,NA,2018-11-07 19:44:11,TRUE,NA,"1060256619383193601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",29852,FALSE,FALSE,NA,NA
"67","According to NBC News, Voters Nationwide Disapprove of the so-called Mueller Investigation (46%) more than they App… https://t.co/MBZliXtBX7",FALSE,122524,NA,2018-11-07 15:39:11,TRUE,NA,"1060194964351660033",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",28284,FALSE,FALSE,NA,NA
"68","In all fairness, Nancy Pelosi deserves to be chosen Speaker of the House by the Democrats. If they give her a hard… https://t.co/X30cUhjRo7",FALSE,88947,NA,2018-11-07 13:31:24,TRUE,NA,"1060162807960870913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18305,FALSE,FALSE,NA,NA
"69","If the Democrats think they are going to waste Taxpayer Money investigating us at the House level, then we will lik… https://t.co/04c4QhEvbK",FALSE,178281,NA,2018-11-07 13:04:02,TRUE,NA,"1060155917059219461",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",45938,FALSE,FALSE,NA,NA
"70","To any of the pundits or talking heads that do not give us proper credit for this great Midterm Election, just reme… https://t.co/uwYmi2ULbt",FALSE,139099,NA,2018-11-07 12:52:39,TRUE,NA,"1060153052676702208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",29264,FALSE,FALSE,NA,NA
"71","I will be doing a news conference at The White House - 11:30 A.M. Will be discussing our success in the Midterms!",FALSE,69096,NA,2018-11-07 12:36:28,FALSE,NA,"1060148982968733696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13549,FALSE,FALSE,NA,NA
"72","Those that worked with me in this incredible Midterm Election, embracing certain policies and principles, did very… https://t.co/OTUWeooDxp",FALSE,110203,NA,2018-11-07 12:07:51,TRUE,NA,"1060141780878979072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24366,FALSE,FALSE,NA,NA
"73","Ron DeSantis showed great courage in his hard fought campaign to become the Governor of Florida. Congratulations to Ron and family!",FALSE,87317,NA,2018-11-07 11:55:35,FALSE,NA,"1060138691778301953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16397,FALSE,FALSE,NA,NA
"74","Received so many Congratulations from so many on our Big Victory last night, including from foreign nations (friend… https://t.co/7lZw3mapFD",FALSE,110589,NA,2018-11-07 11:21:51,TRUE,NA,"1060130202418864129",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22474,FALSE,FALSE,NA,NA
"75",".@DavidAsmanfox  “How do the Democrats respond to this? Think of how his position with Republicans improves-all the… https://t.co/KAdubmN8nV",FALSE,62934,NA,2018-11-07 06:49:40,TRUE,NA,"1060061704850206720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12707,FALSE,FALSE,NA,NA
"76","....unbelievably lucky to have him and I’m just awed at how well they’ve done. It’s all the Trump magic - Trump is… https://t.co/R5gpEXFBtj",FALSE,88699,NA,2018-11-07 06:37:48,TRUE,NA,"1060058718937800704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19024,FALSE,FALSE,NA,NA
"77","“There’s only been 5 times in the last 105 years that an incumbent President has won seats in the Senate in the off… https://t.co/OXQa0n6c2L",FALSE,100393,NA,2018-11-07 06:27:01,TRUE,NA,"1060056007316045825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23208,FALSE,FALSE,NA,NA
"78","Tremendous success tonight. Thank you to all!",FALSE,253811,NA,2018-11-07 04:14:39,FALSE,NA,"1060022696703070208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",50489,FALSE,FALSE,NA,NA
"79","Congressman Randy Hultgren (R) of Illinois is doing a great job. Get out and Vote for Randy - Total Endorsement!",FALSE,65990,NA,2018-11-06 19:56:34,FALSE,NA,"1059897349005283334",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13942,FALSE,FALSE,NA,NA
"80","Florida, very important - get out and vote for Florida Congressional Candidate Michael Waltz (R). He has my Strong Endorsement!",FALSE,75419,NA,2018-11-06 19:52:48,FALSE,NA,"1059896399595225089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16495,FALSE,FALSE,NA,NA
